indev,Date,fall,Hz1_section_num,mean_thermal_prop,prop_section_with_thermal,thermals,lat_start_migration,lon_start_migration,datetime_start_migration_utc,datetime_enter_sea_utc,datetime_exit_sea_utc,time_at_sea,Days_at_stopover,ang
161152,2018-10-27,1,28,0.069702380952381,0.214285714285714,1,37.5107421875,33.6427192687988,08:37:40,10:47:59,20:44:08,9,11,-1.20011816759151
170521,2020-10-23,1,3,0,0,0,36.6272735595703,35.2215957641602,06:20:15,06:20:15,13:29:20,7,1,-1.32718488678433
170541,2018-10-23,1,6,0,0,0,36.6844444274902,35.600399017334,06:06:18,08:06:19,13:06:03,4,15,-1.28839535257766
170581,2018-10-26,1,16,0.114791666666667,0.3125,1,37.1816902160645,33.5109176635742,07:35:13,07:35:13,13:44:16,6,11,-1.07153495114324
170581,2019-11-02,1,7,0.13,0.428571428571429,1,36.6357612609863,35.2237968444824,08:38:56,08:38:56,15:19:38,6,15,-1.82069904689684
170581,2020-11-12,1,17,0.0885294117647059,0.294117647058824,1,36.6889038085938,35.5695266723633,05:38:17,07:38:49,13:02:03,5,10,-1.39252938622969
170591,2018-10-27,1,4,0.332916666666667,1,1,36.6739463806152,35.602165222168,08:00:57,08:00:57,11:24:57,3,1,-1.34440278091649
170591,2019-10-18,1,2,0,0,0,36.6069450378418,35.2694091796875,09:18:55,09:18:55,12:27:53,3,1,-0.727393159265792
170761,2019-10-26,1,23,0.0300724637681159,0.0869565217391304,1,36.6065368652344,35.2631683349609,08:18:58,08:18:58,14:21:23,6,8,-1.3301741812972
170771,2018-10-24,1,29,0,0,0,36.6272087097168,35.2399978637695,08:13:40,08:13:40,14:10:47,5,14,-1.93849607477446
170791,2020-10-22,1,1,0,0,0,36.6277770996094,35.2225532531738,08:07:49,08:07:49,11:40:39,3,1,-0.93033011882992
170821,2018-10-27,1,22,0.158787878787879,0.636363636363636,1,36.6779937744141,35.2143287658691,04:19:35,04:19:35,11:25:52,7,3,-1.62513345439401
170821,2019-10-11,1,6,0,0,0,36.6800537109375,35.2062950134277,07:54:13,07:54:13,11:08:29,3,1,-1.01520257413827
170831,2019-10-19,1,1,0,0,0,36.7004737854004,35.5781326293945,06:58:50,06:58:50,09:57:26,2,1,-1.10411532991672
170891,2018-10-27,1,31,0.09,0.32258064516129,1,36.6367950439453,35.1903343200684,07:19:45,07:19:45,14:31:22,7,13,-1.6160434961868
170891,2019-10-26,1,16,0,0,0,36.6058311462402,35.2635612487793,08:20:51,08:20:51,12:37:43,4,2,-1.27765139893954
170911,2018-10-14,1,18,0.00675925925925926,0.0555555555555556,1,38.4824752807617,32.9271850585938,09:09:20,13:09:20,20:28:20,7,2,-0.732088125662951
170911,2020-10-23,1,5,0,0,0,36.6247940063477,35.2326354980469,07:08:21,07:08:21,11:32:23,4,1,-1.18340709680249
170931,2019-10-19,1,4,0.0604166666666667,0.25,1,36.6268768310547,35.2183723449707,09:06:51,09:06:51,12:32:35,3,1,-0.90752734884379
170931,2020-11-06,1,9,0.107592592592593,0.444444444444444,1,36.741382598877,35.6170616149902,09:51:37,09:51:37,15:04:20,5,16,-1.45969765707844
170961,2019-11-04,1,19,0.0436842105263158,0.210526315789474,1,36.6300163269043,35.5867118835449,08:29:21,08:29:21,13:28:35,4,5,-1.58711279891819
170991,2019-10-23,1,13,0.0315384615384615,0.153846153846154,1,38.3554573059082,32.8494148254395,07:16:38,11:16:39,06:39:50,19,1,-1.0704569365624
170991,2020-10-23,1,10,0.0636666666666667,0.3,1,36.674503326416,35.6007347106934,08:12:04,08:12:04,12:16:04,4,1,-1.19460819889981
171021,2019-10-19,1,4,0.0966666666666667,0.25,1,36.6277542114258,35.2157592773438,09:06:16,09:06:16,12:37:13,3,1,-0.885556632291088
171041,2019-10-19,1,7,0,0,0,36.6296997070313,35.2125663757324,08:05:11,08:05:11,11:57:15,3,1,-1.01448392008514
171051,2018-10-20,1,22,0.0202272727272727,0.0454545454545455,1,36.6164627075195,35.2548866271973,08:10:53,08:10:53,15:15:02,7,1,-1.74906470917952
1819491,2018-10-23,1,10,0.0335,0.1,1,36.639289855957,35.1745147705078,08:06:36,08:06:36,14:04:51,5,5,-1.4307280785189
1819501,2019-11-18,1,19,0.126578947368421,0.315789473684211,1,36.6669540405273,35.6162261962891,07:37:31,07:37:31,14:59:55,7,19,-1.57331580405504
1819501,2020-10-23,1,2,0,0,0,36.6698608398438,35.591438293457,09:10:35,09:10:35,11:09:36,1,2,-1.22409775039459
1819511,2018-10-27,1,26,0.178717948717949,0.461538461538462,1,36.6466751098633,35.2051010131836,08:11:02,08:11:02,15:29:47,7,1,-1.61606497097613
1819511,2019-11-18,1,14,0.113928571428571,0.285714285714286,1,36.6668968200684,35.6162300109863,07:33:56,07:33:56,14:45:16,7,19,-1.53745395685032
1819521,2019-10-18,1,14,0.0201190476190476,0.142857142857143,1,36.6218147277832,35.2330322265625,08:12:51,08:12:51,12:24:09,4,1,-1.16046256876998
1819531,2019-10-26,1,7,0,0,0,36.6180763244629,35.253791809082,07:22:35,07:22:35,13:24:44,6,1,-1.31598523895542
1819531,2020-11-08,1,20,0.102083333333333,0.4,1,36.636287689209,35.1874351501465,07:35:50,07:35:50,15:46:23,8,17,-1.67172693073709
1819541,2018-10-27,1,32,0.15078125,0.46875,1,36.632194519043,35.1970291137695,08:14:15,08:14:15,17:09:25,8,12,-1.58135776883025
1819541,2019-10-29,1,5,0,0,0,36.5988922119141,35.5929565429688,08:10:16,08:10:16,11:38:10,3,1,-1.31455800065194
1819551,2019-10-29,1,10,0.087,0.3,1,36.5986671447754,35.5931282043457,08:20:54,08:20:54,11:36:48,3,1,-1.3117502303218
1819561,2019-10-19,1,11,0,0,0,36.6330146789551,35.2771453857422,08:05:10,08:05:10,11:06:02,3,1,-1.09276813432392
1819561,2020-10-23,1,4,0.109166666666667,0.25,1,36.703784942627,35.5404243469238,07:26:23,07:26:23,11:44:31,4,2,-1.24175696226627
1819581,2020-10-23,1,14,0,0,0,36.6255149841309,35.2331237792969,07:05:36,07:05:36,12:09:16,5,1,-1.44395221592124
